Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-20 00:50:48
AED,3.6725,2025-01-20 00:50:48
AFN,73.6227,2025-01-20 00:50:48
ALL,95.5312,2025-01-20 00:50:48
AMD,399.7424,2025-01-20 00:50:48
ANG,1.79,2025-01-20 00:50:48
AOA,918.3035,2025-01-20 00:50:48
ARS,1044.5,2025-01-20 00:50:48
AUD,1.6131,2025-01-20 00:50:48
AWG,1.79,2025-01-20 00:50:48
AZN,1.7008,2025-01-20 00:50:48
BAM,1.9022,2025-01-20 00:50:48
BBD,2.0,2025-01-20 00:50:48
BDT,121.5461,2025-01-20 00:50:48
BGN,1.9021,2025-01-20 00:50:48
BHD,0.376,2025-01-20 00:50:48
BIF,2922.4332,2025-01-20 00:50:48
BMD,1.0,2025-01-20 00:50:48
BND,1.3681,2025-01-20 00:50:48
BOB,6.9319,2025-01-20 00:50:48
BRL,6.0547,2025-01-20 00:50:48
BSD,1.0,2025-01-20 00:50:48
BTN,86.6396,2025-01-20 00:50:48
BWP,14.0396,2025-01-20 00:50:48
BYN,3.4378,2025-01-20 00:50:48
BZD,2.0,2025-01-20 00:50:48
CAD,1.4448,2025-01-20 00:50:48
CDF,2847.7588,2025-01-20 00:50:48
CHF,0.9136,2025-01-20 00:50:48
CLP,1012.0496,2025-01-20 00:50:48
CNY,7.3368,2025-01-20 00:50:48
COP,4291.7345,2025-01-20 00:50:48
CRC,502.2566,2025-01-20 00:50:48
CUP,24.0,2025-01-20 00:50:48
CVE,107.2397,2025-01-20 00:50:48
CZK,24.557,2025-01-20 00:50:48
DJF,177.721,2025-01-20 00:50:48
DKK,7.2544,2025-01-20 00:50:48
DOP,61.3852,2025-01-20 00:50:48
DZD,135.7301,2025-01-20 00:50:48
EGP,50.3956,2025-01-20 00:50:48
ERN,15.0,2025-01-20 00:50:48
ETB,126.0979,2025-01-20 00:50:48
EUR,0.9726,2025-01-20 00:50:48
FJD,2.3335,2025-01-20 00:50:48
FKP,0.8209,2025-01-20 00:50:48
FOK,7.2544,2025-01-20 00:50:48
GBP,0.8209,2025-01-20 00:50:48
GEL,2.8402,2025-01-20 00:50:48
GGP,0.8209,2025-01-20 00:50:48
GHS,15.1884,2025-01-20 00:50:48
GIP,0.8209,2025-01-20 00:50:48
GMD,72.5218,2025-01-20 00:50:48
GNF,8629.3709,2025-01-20 00:50:48
GTQ,7.7236,2025-01-20 00:50:48
GYD,209.236,2025-01-20 00:50:48
HKD,7.7868,2025-01-20 00:50:48
HNL,25.4542,2025-01-20 00:50:48
HRK,7.3278,2025-01-20 00:50:48
HTG,130.6156,2025-01-20 00:50:48
HUF,401.1633,2025-01-20 00:50:48
IDR,16390.0306,2025-01-20 00:50:48
ILS,3.5769,2025-01-20 00:50:48
IMP,0.8209,2025-01-20 00:50:48
INR,86.6397,2025-01-20 00:50:48
IQD,1312.2699,2025-01-20 00:50:48
IRR,41980.7833,2025-01-20 00:50:48
ISK,140.9424,2025-01-20 00:50:48
JEP,0.8209,2025-01-20 00:50:48
JMD,157.1379,2025-01-20 00:50:48
JOD,0.709,2025-01-20 00:50:48
JPY,155.9939,2025-01-20 00:50:48
KES,129.574,2025-01-20 00:50:48
KGS,87.2802,2025-01-20 00:50:48
KHR,4019.4113,2025-01-20 00:50:48
KID,1.6131,2025-01-20 00:50:48
KMF,478.4699,2025-01-20 00:50:48
KRW,1457.6584,2025-01-20 00:50:48
KWD,0.3087,2025-01-20 00:50:48
KYD,0.8333,2025-01-20 00:50:48
KZT,530.3129,2025-01-20 00:50:48
LAK,21929.0255,2025-01-20 00:50:48
LBP,89500.0,2025-01-20 00:50:48
LKR,296.0941,2025-01-20 00:50:48
LRD,189.3745,2025-01-20 00:50:48
LSL,18.7484,2025-01-20 00:50:48
LYD,4.9506,2025-01-20 00:50:48
MAD,10.0499,2025-01-20 00:50:48
MDL,18.8111,2025-01-20 00:50:48
MGA,4689.1093,2025-01-20 00:50:48
MKD,59.7836,2025-01-20 00:50:48
MMK,2100.4384,2025-01-20 00:50:48
MNT,3460.6069,2025-01-20 00:50:48
MOP,8.0201,2025-01-20 00:50:48
MRU,39.8264,2025-01-20 00:50:48
MUR,46.7165,2025-01-20 00:50:48
MVR,15.4663,2025-01-20 00:50:48
MWK,1744.3946,2025-01-20 00:50:48
MXN,20.7931,2025-01-20 00:50:48
MYR,4.5051,2025-01-20 00:50:48
MZN,63.9834,2025-01-20 00:50:48
NAD,18.7484,2025-01-20 00:50:48
NGN,1550.6529,2025-01-20 00:50:48
NIO,36.8137,2025-01-20 00:50:48
NOK,11.4304,2025-01-20 00:50:48
NPR,138.6234,2025-01-20 00:50:48
NZD,1.7897,2025-01-20 00:50:48
OMR,0.3845,2025-01-20 00:50:48
PAB,1.0,2025-01-20 00:50:48
PEN,3.77,2025-01-20 00:50:48
PGK,4.0608,2025-01-20 00:50:48
PHP,58.5249,2025-01-20 00:50:48
PKR,278.6866,2025-01-20 00:50:48
PLN,4.1405,2025-01-20 00:50:48
PYG,7899.659,2025-01-20 00:50:48
QAR,3.64,2025-01-20 00:50:48
RON,4.834,2025-01-20 00:50:48
