Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-13 00:29:34
AED,3.6725,2025-01-13 00:29:34
AFN,71.0726,2025-01-13 00:29:34
ALL,95.1938,2025-01-13 00:29:34
AMD,396.4921,2025-01-13 00:29:34
ANG,1.79,2025-01-13 00:29:34
AOA,920.249,2025-01-13 00:29:34
ARS,1039.75,2025-01-13 00:29:34
AUD,1.6218,2025-01-13 00:29:34
AWG,1.79,2025-01-13 00:29:34
AZN,1.7003,2025-01-13 00:29:34
BAM,1.9052,2025-01-13 00:29:34
BBD,2.0,2025-01-13 00:29:34
BDT,121.8932,2025-01-13 00:29:34
BGN,1.905,2025-01-13 00:29:34
BHD,0.376,2025-01-13 00:29:34
BIF,2920.2724,2025-01-13 00:29:34
BMD,1.0,2025-01-13 00:29:34
BND,1.3702,2025-01-13 00:29:34
BOB,6.9217,2025-01-13 00:29:34
BRL,6.0506,2025-01-13 00:29:34
BSD,1.0,2025-01-13 00:29:34
BTN,86.0923,2025-01-13 00:29:34
BWP,14.0877,2025-01-13 00:29:34
BYN,3.4421,2025-01-13 00:29:34
BZD,2.0,2025-01-13 00:29:34
CAD,1.4417,2025-01-13 00:29:34
CDF,2840.4771,2025-01-13 00:29:34
CHF,0.9153,2025-01-13 00:29:34
CLP,1005.2062,2025-01-13 00:29:34
CNY,7.3458,2025-01-13 00:29:34
COP,4336.9026,2025-01-13 00:29:34
CRC,506.265,2025-01-13 00:29:34
CUP,24.0,2025-01-13 00:29:34
CVE,107.4101,2025-01-13 00:29:34
CZK,24.3954,2025-01-13 00:29:34
DJF,177.721,2025-01-13 00:29:34
DKK,7.2682,2025-01-13 00:29:34
DOP,61.3074,2025-01-13 00:29:34
DZD,135.6998,2025-01-13 00:29:34
EGP,50.5621,2025-01-13 00:29:34
ERN,15.0,2025-01-13 00:29:34
ETB,125.7151,2025-01-13 00:29:34
EUR,0.9741,2025-01-13 00:29:34
FJD,2.3247,2025-01-13 00:29:34
FKP,0.8169,2025-01-13 00:29:34
FOK,7.2682,2025-01-13 00:29:34
GBP,0.8169,2025-01-13 00:29:34
