Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-20 00:49:47
AED,3.6725,2025-01-20 00:49:47
AFN,73.6227,2025-01-20 00:49:47
ALL,95.5312,2025-01-20 00:49:47
AMD,399.7424,2025-01-20 00:49:47
ANG,1.79,2025-01-20 00:49:47
AOA,918.3035,2025-01-20 00:49:47
ARS,1044.5,2025-01-20 00:49:47
AUD,1.6131,2025-01-20 00:49:47
AWG,1.79,2025-01-20 00:49:47
AZN,1.7008,2025-01-20 00:49:47
BAM,1.9022,2025-01-20 00:49:47
BBD,2.0,2025-01-20 00:49:47
BDT,121.5461,2025-01-20 00:49:47
BGN,1.9021,2025-01-20 00:49:47
BHD,0.376,2025-01-20 00:49:47
BIF,2922.4332,2025-01-20 00:49:47
BMD,1.0,2025-01-20 00:49:47
BND,1.3681,2025-01-20 00:49:47
BOB,6.9319,2025-01-20 00:49:47
BRL,6.0547,2025-01-20 00:49:47
BSD,1.0,2025-01-20 00:49:47
BTN,86.6396,2025-01-20 00:49:47
BWP,14.0396,2025-01-20 00:49:47
BYN,3.4378,2025-01-20 00:49:47
BZD,2.0,2025-01-20 00:49:47
CAD,1.4448,2025-01-20 00:49:47
CDF,2847.7588,2025-01-20 00:49:47
CHF,0.9136,2025-01-20 00:49:47
CLP,1012.0496,2025-01-20 00:49:47
CNY,7.3368,2025-01-20 00:49:47
COP,4291.7345,2025-01-20 00:49:47
CRC,502.2566,2025-01-20 00:49:47
CUP,24.0,2025-01-20 00:49:47
CVE,107.2397,2025-01-20 00:49:47
CZK,24.557,2025-01-20 00:49:47
DJF,177.721,2025-01-20 00:49:47
DKK,7.2544,2025-01-20 00:49:47
DOP,61.3852,2025-01-20 00:49:47
DZD,135.7301,2025-01-20 00:49:47
EGP,50.3956,2025-01-20 00:49:47
ERN,15.0,2025-01-20 00:49:47
ETB,126.0979,2025-01-20 00:49:47
EUR,0.9726,2025-01-20 00:49:47
FJD,2.3335,2025-01-20 00:49:47
FKP,0.8209,2025-01-20 00:49:47
FOK,7.2544,2025-01-20 00:49:47
GBP,0.8209,2025-01-20 00:49:47
GEL,2.8402,2025-01-20 00:49:47
GGP,0.8209,2025-01-20 00:49:47
GHS,15.1884,2025-01-20 00:49:47
GIP,0.8209,2025-01-20 00:49:47
GMD,72.5218,2025-01-20 00:49:47
GNF,8629.3709,2025-01-20 00:49:47
GTQ,7.7236,2025-01-20 00:49:47
GYD,209.236,2025-01-20 00:49:47
HKD,7.7868,2025-01-20 00:49:47
HNL,25.4542,2025-01-20 00:49:47
HRK,7.3278,2025-01-20 00:49:47
HTG,130.6156,2025-01-20 00:49:47
HUF,401.1633,2025-01-20 00:49:47
IDR,16390.0306,2025-01-20 00:49:47
ILS,3.5769,2025-01-20 00:49:47
IMP,0.8209,2025-01-20 00:49:47
INR,86.6397,2025-01-20 00:49:47
IQD,1312.2699,2025-01-20 00:49:47
IRR,41980.7833,2025-01-20 00:49:47
ISK,140.9424,2025-01-20 00:49:47
JEP,0.8209,2025-01-20 00:49:47
JMD,157.1379,2025-01-20 00:49:47
JOD,0.709,2025-01-20 00:49:47
JPY,155.9939,2025-01-20 00:49:47
KES,129.574,2025-01-20 00:49:47
KGS,87.2802,2025-01-20 00:49:47
KHR,4019.4113,2025-01-20 00:49:47
KID,1.6131,2025-01-20 00:49:47
KMF,478.4699,2025-01-20 00:49:47
KRW,1457.6584,2025-01-20 00:49:47
KWD,0.3087,2025-01-20 00:49:47
KYD,0.8333,2025-01-20 00:49:47
KZT,530.3129,2025-01-20 00:49:47
LAK,21929.0255,2025-01-20 00:49:47
LBP,89500.0,2025-01-20 00:49:47
LKR,296.0941,2025-01-20 00:49:47
LRD,189.3745,2025-01-20 00:49:47
LSL,18.7484,2025-01-20 00:49:47
LYD,4.9506,2025-01-20 00:49:47
MAD,10.0499,2025-01-20 00:49:47
MDL,18.8111,2025-01-20 00:49:47
MGA,4689.1093,2025-01-20 00:49:47
MKD,59.7836,2025-01-20 00:49:47
MMK,2100.4384,2025-01-20 00:49:47
MNT,3460.6069,2025-01-20 00:49:47
MOP,8.0201,2025-01-20 00:49:47
MRU,39.8264,2025-01-20 00:49:47
MUR,46.7165,2025-01-20 00:49:47
MVR,15.4663,2025-01-20 00:49:47
MWK,1744.3946,2025-01-20 00:49:47
MXN,20.7931,2025-01-20 00:49:47
MYR,4.5051,2025-01-20 00:49:47
MZN,63.9834,2025-01-20 00:49:47
NAD,18.7484,2025-01-20 00:49:47
NGN,1550.6529,2025-01-20 00:49:47
NIO,36.8137,2025-01-20 00:49:47
NOK,11.4304,2025-01-20 00:49:47
NPR,138.6234,2025-01-20 00:49:47
NZD,1.7897,2025-01-20 00:49:47
OMR,0.3845,2025-01-20 00:49:47
PAB,1.0,2025-01-20 00:49:47
PEN,3.77,2025-01-20 00:49:47
PGK,4.0608,2025-01-20 00:49:47
PHP,58.5249,2025-01-20 00:49:47
PKR,278.6866,2025-01-20 00:49:47
PLN,4.1405,2025-01-20 00:49:47
PYG,7899.659,2025-01-20 00:49:47
QAR,3.64,2025-01-20 00:49:47
RON,4.834,2025-01-20 00:49:47
RSD,113.7678,2025-01-20 00:49:47
RUB,102.4501,2025-01-20 00:49:47
RWF,1401.9001,2025-01-20 00:49:47
SAR,3.75,2025-01-20 00:49:47
SBD,8.5192,2025-01-20 00:49:47
SCR,14.3651,2025-01-20 00:49:47
SDG,509.9233,2025-01-20 00:49:47
SEK,11.1795,2025-01-20 00:49:47
SGD,1.3681,2025-01-20 00:49:47
SHP,0.8209,2025-01-20 00:49:47
SLE,22.7219,2025-01-20 00:49:47
SLL,22721.9239,2025-01-20 00:49:47
SOS,571.658,2025-01-20 00:49:47
SRD,35.1701,2025-01-20 00:49:47
SSP,4067.2638,2025-01-20 00:49:47
STN,23.8278,2025-01-20 00:49:47
SYP,12943.3367,2025-01-20 00:49:47
SZL,18.7484,2025-01-20 00:49:47
THB,34.4824,2025-01-20 00:49:47
TJS,10.968,2025-01-20 00:49:47
TMT,3.5004,2025-01-20 00:49:47
TND,3.218,2025-01-20 00:49:47
TOP,2.4007,2025-01-20 00:49:47
TRY,35.553,2025-01-20 00:49:47
TTD,6.7686,2025-01-20 00:49:47
TVD,1.6131,2025-01-20 00:49:47
TWD,32.9049,2025-01-20 00:49:47
TZS,2516.0793,2025-01-20 00:49:47
UAH,42.143,2025-01-20 00:49:47
UGX,3685.2749,2025-01-20 00:49:47
UYU,44.0587,2025-01-20 00:49:47
UZS,12970.6094,2025-01-20 00:49:47
VES,54.9113,2025-01-20 00:49:47
VND,25353.764,2025-01-20 00:49:47
VUV,119.46,2025-01-20 00:49:47
WST,2.8436,2025-01-20 00:49:47
XAF,637.9598,2025-01-20 00:49:47
XCD,2.7,2025-01-20 00:49:47
XDR,0.7695,2025-01-20 00:49:47
XOF,637.9598,2025-01-20 00:49:47
XPF,116.0579,2025-01-20 00:49:47
YER,249.0805,2025-01-20 00:49:47
ZAR,18.7485,2025-01-20 00:49:47
ZMW,27.8793,2025-01-20 00:49:47
ZWL,26.2614,2025-01-20 00:49:47
