Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-19 02:27:07
AED,3.6725,2025-01-19 02:27:07
AFN,73.6227,2025-01-19 02:27:07
ALL,95.5312,2025-01-19 02:27:07
AMD,399.7424,2025-01-19 02:27:07
ANG,1.79,2025-01-19 02:27:07
AOA,918.3035,2025-01-19 02:27:07
ARS,1044.5,2025-01-19 02:27:07
AUD,1.6131,2025-01-19 02:27:07
AWG,1.79,2025-01-19 02:27:07
AZN,1.7008,2025-01-19 02:27:07
BAM,1.9022,2025-01-19 02:27:07
BBD,2.0,2025-01-19 02:27:07
BDT,121.5461,2025-01-19 02:27:07
BGN,1.9021,2025-01-19 02:27:07
BHD,0.376,2025-01-19 02:27:07
BIF,2922.4332,2025-01-19 02:27:07
BMD,1.0,2025-01-19 02:27:07
BND,1.3681,2025-01-19 02:27:07
BOB,6.9319,2025-01-19 02:27:07
BRL,6.0547,2025-01-19 02:27:07
BSD,1.0,2025-01-19 02:27:07
BTN,86.6396,2025-01-19 02:27:07
BWP,14.0396,2025-01-19 02:27:07
BYN,3.4378,2025-01-19 02:27:07
BZD,2.0,2025-01-19 02:27:07
CAD,1.4448,2025-01-19 02:27:07
CDF,2847.7588,2025-01-19 02:27:07
CHF,0.9136,2025-01-19 02:27:07
CLP,1012.0496,2025-01-19 02:27:07
CNY,7.3368,2025-01-19 02:27:07
COP,4291.7345,2025-01-19 02:27:07
CRC,502.2566,2025-01-19 02:27:07
CUP,24.0,2025-01-19 02:27:07
CVE,107.2397,2025-01-19 02:27:07
CZK,24.557,2025-01-19 02:27:07
DJF,177.721,2025-01-19 02:27:07
DKK,7.2544,2025-01-19 02:27:07
DOP,61.3852,2025-01-19 02:27:07
DZD,135.7301,2025-01-19 02:27:07
EGP,50.3956,2025-01-19 02:27:07
ERN,15.0,2025-01-19 02:27:07
ETB,126.0979,2025-01-19 02:27:07
EUR,0.9726,2025-01-19 02:27:07
FJD,2.3335,2025-01-19 02:27:07
FKP,0.8209,2025-01-19 02:27:07
FOK,7.2544,2025-01-19 02:27:07
GBP,0.8209,2025-01-19 02:27:07
GEL,2.8402,2025-01-19 02:27:07
GGP,0.8209,2025-01-19 02:27:07
GHS,15.1884,2025-01-19 02:27:07
GIP,0.8209,2025-01-19 02:27:07
GMD,72.5218,2025-01-19 02:27:07
GNF,8629.3709,2025-01-19 02:27:07
GTQ,7.7236,2025-01-19 02:27:07
GYD,209.236,2025-01-19 02:27:07
HKD,7.7868,2025-01-19 02:27:07
HNL,25.4542,2025-01-19 02:27:07
HRK,7.3278,2025-01-19 02:27:07
HTG,130.6156,2025-01-19 02:27:07
HUF,401.1633,2025-01-19 02:27:07
IDR,16390.0306,2025-01-19 02:27:07
ILS,3.5769,2025-01-19 02:27:07
IMP,0.8209,2025-01-19 02:27:07
INR,86.6397,2025-01-19 02:27:07
IQD,1312.2699,2025-01-19 02:27:07
IRR,41980.7833,2025-01-19 02:27:07
ISK,140.9424,2025-01-19 02:27:07
JEP,0.8209,2025-01-19 02:27:07
JMD,157.1379,2025-01-19 02:27:07
JOD,0.709,2025-01-19 02:27:07
JPY,155.9939,2025-01-19 02:27:07
KES,129.574,2025-01-19 02:27:07
KGS,87.2802,2025-01-19 02:27:07
KHR,4019.4113,2025-01-19 02:27:07
KID,1.6131,2025-01-19 02:27:07
KMF,478.4699,2025-01-19 02:27:07
KRW,1457.6584,2025-01-19 02:27:07
KWD,0.3087,2025-01-19 02:27:07
KYD,0.8333,2025-01-19 02:27:07
KZT,530.3129,2025-01-19 02:27:07
LAK,21929.0255,2025-01-19 02:27:07
LBP,89500.0,2025-01-19 02:27:07
LKR,296.0941,2025-01-19 02:27:07
LRD,189.3745,2025-01-19 02:27:07
LSL,18.7484,2025-01-19 02:27:07
LYD,4.9506,2025-01-19 02:27:07
MAD,10.0499,2025-01-19 02:27:07
MDL,18.8111,2025-01-19 02:27:07
MGA,4689.1093,2025-01-19 02:27:07
MKD,59.7836,2025-01-19 02:27:07
MMK,2100.4384,2025-01-19 02:27:07
MNT,3460.6069,2025-01-19 02:27:07
MOP,8.0201,2025-01-19 02:27:07
MRU,39.8264,2025-01-19 02:27:07
MUR,46.7165,2025-01-19 02:27:07
MVR,15.4663,2025-01-19 02:27:07
MWK,1744.3946,2025-01-19 02:27:07
MXN,20.7931,2025-01-19 02:27:07
MYR,4.5051,2025-01-19 02:27:07
MZN,63.9834,2025-01-19 02:27:07
NAD,18.7484,2025-01-19 02:27:07
NGN,1550.6529,2025-01-19 02:27:07
NIO,36.8137,2025-01-19 02:27:07
NOK,11.4304,2025-01-19 02:27:07
NPR,138.6234,2025-01-19 02:27:07
NZD,1.7897,2025-01-19 02:27:07
OMR,0.3845,2025-01-19 02:27:07
PAB,1.0,2025-01-19 02:27:07
PEN,3.77,2025-01-19 02:27:07
PGK,4.0608,2025-01-19 02:27:07
PHP,58.5249,2025-01-19 02:27:07
PKR,278.6866,2025-01-19 02:27:07
PLN,4.1405,2025-01-19 02:27:07
PYG,7899.659,2025-01-19 02:27:07
QAR,3.64,2025-01-19 02:27:07
RON,4.834,2025-01-19 02:27:07
RSD,113.7678,2025-01-19 02:27:07
RUB,102.4501,2025-01-19 02:27:07
RWF,1401.9001,2025-01-19 02:27:07
SAR,3.75,2025-01-19 02:27:07
SBD,8.5192,2025-01-19 02:27:07
SCR,14.3651,2025-01-19 02:27:07
SDG,509.9233,2025-01-19 02:27:07
SEK,11.1795,2025-01-19 02:27:07
SGD,1.3681,2025-01-19 02:27:07
SHP,0.8209,2025-01-19 02:27:07
SLE,22.7219,2025-01-19 02:27:07
SLL,22721.9239,2025-01-19 02:27:07
SOS,571.658,2025-01-19 02:27:07
SRD,35.1701,2025-01-19 02:27:07
SSP,4067.2638,2025-01-19 02:27:07
STN,23.8278,2025-01-19 02:27:07
SYP,12943.3367,2025-01-19 02:27:07
