Kod Waluty,Kurs,Data Archiwizacji
USD,0.8642630853523797,2025-01-20 08:30:12
AED,3.698697442074683,2025-01-20 08:30:12
AFN,73.44546997739042,2025-01-20 08:30:12
ALL,95.42361060911216,2025-01-20 08:30:12
AMD,400.0243777800641,2025-01-20 08:30:12
ANG,1.7795602435872127,2025-01-20 08:30:12
AOA,918.6381648775991,2025-01-20 08:30:12
ARS,1044.3721243389543,2025-01-20 08:30:12
AUD,1.6858629356458292,2025-01-20 08:30:12
AWG,1.8535542985590792,2025-01-20 08:30:12
AZN,1.7789334432557944,2025-01-20 08:30:12
BAM,2.0823483610365963,2025-01-20 08:30:12
BBD,2.1120490101418032,2025-01-20 08:30:12
BDT,121.4846183568722,2025-01-20 08:30:12
BGN,1.8010465222061391,2025-01-20 08:30:12
BHD,0.30981170306057565,2025-01-20 08:30:12
BIF,2957.040152794355,2025-01-20 08:30:12
BMD,0.9950818012284686,2025-01-20 08:30:12
BND,1.258741742416116,2025-01-20 08:30:12
BOB,6.883880645467155,2025-01-20 08:30:12
BRL,5.917127607492849,2025-01-20 08:30:12
BSD,0.8732411863517375,2025-01-20 08:30:12
BTN,86.5614970546974,2025-01-20 08:30:12
BWP,13.81257602864812,2025-01-20 08:30:12
BYN,3.263377643341329,2025-01-20 08:30:12
BZD,1.846612582636811,2025-01-20 08:30:12
CAD,1.5777114731381543,2025-01-20 08:30:12
CDF,2854.795469993481,2025-01-20 08:30:12
CHF,0.8898498553634104,2025-01-20 08:30:12
CLP,1011.3197959954317,2025-01-20 08:30:12
CNY,7.503883136456296,2025-01-20 08:30:12
COP,4342.443761107714,2025-01-20 08:30:12
CRC,502.5582081120348,2025-01-20 08:30:12
CUP,24.184063602015122,2025-01-20 08:30:12
CVE,107.19504881648201,2025-01-20 08:30:12
CZK,24.514129092596225,2025-01-20 08:30:12
DJF,177.56375154269998,2025-01-20 08:30:12
DKK,7.276087805111902,2025-01-20 08:30:12
DOP,61.498295838660596,2025-01-20 08:30:12
DZD,135.9731051206574,2025-01-20 08:30:12
EGP,50.238430550475506,2025-01-20 08:30:12
ERN,14.995516749283162,2025-01-20 08:30:12
ETB,127.2990336847801,2025-01-20 08:30:12
EUR,0.7942128514365172,2025-01-20 08:30:12
FJD,2.2270760272534726,2025-01-20 08:30:12
FKP,0.8131218477160471,2025-01-20 08:30:12
FOK,7.263154219537931,2025-01-20 08:30:12
GBP,0.7390530667185427,2025-01-20 08:30:12
GEL,2.78650986067431,2025-01-20 08:30:12
GGP,0.9253271369711767,2025-01-20 08:30:12
GHS,15.115269026553843,2025-01-20 08:30:12
GIP,0.7806867219741105,2025-01-20 08:30:12
GMD,72.38465093239117,2025-01-20 08:30:12
GNF,8588.97931942609,2025-01-20 08:30:12
GTQ,7.790982722158317,2025-01-20 08:30:12
GYD,209.25490138414503,2025-01-20 08:30:12
HKD,7.587337219940366,2025-01-20 08:30:12
HNL,25.27296008842615,2025-01-20 08:30:12
HRK,7.491444498223347,2025-01-20 08:30:12
HTG,130.53689328893597,2025-01-20 08:30:12
HUF,401.4897890429988,2025-01-20 08:30:12
IDR,16390.25953908698,2025-01-20 08:30:12
ILS,3.410885417077261,2025-01-20 08:30:12
IMP,0.6233417258878258,2025-01-20 08:30:12
INR,86.75783037743837,2025-01-20 08:30:12
IQD,1307.9459974903857,2025-01-20 08:30:12
IRR,41969.641423459514,2025-01-20 08:30:12
ISK,141.25531208842762,2025-01-20 08:30:12
JEP,0.8220408431895381,2025-01-20 08:30:12
JMD,157.0231071854428,2025-01-20 08:30:12
JOD,0.6828269540967673,2025-01-20 08:30:12
JPY,156.38709098193908,2025-01-20 08:30:12
KES,129.54897669829708,2025-01-20 08:30:12
KGS,87.35564145422968,2025-01-20 08:30:12
KHR,4059.2855453679526,2025-01-20 08:30:12
KID,1.716053254452333,2025-01-20 08:30:12
KMF,478.7747012703698,2025-01-20 08:30:12
KRW,1457.7925171842057,2025-01-20 08:30:12
KWD,0.4295953937931525,2025-01-20 08:30:12
KYD,0.8808837107581875,2025-01-20 08:30:12
KZT,530.1236544187001,2025-01-20 08:30:12
LAK,21935.105232462363,2025-01-20 08:30:12
LBP,89500.09101123117,2025-01-20 08:30:12
LKR,295.9133509416044,2025-01-20 08:30:12
LRD,189.91372646966096,2025-01-20 08:30:12
LSL,18.792584513344863,2025-01-20 08:30:12
LYD,4.879274159748033,2025-01-20 08:30:12
MAD,10.197371708996618,2025-01-20 08:30:12
MDL,18.96801709881322,2025-01-20 08:30:12
MGA,4681.232328335189,2025-01-20 08:30:12
MKD,59.693446610234794,2025-01-20 08:30:12
MMK,2099.403188225989,2025-01-20 08:30:12
MNT,3466.4370233520126,2025-01-20 08:30:12
MOP,7.9177425119575675,2025-01-20 08:30:12
MRU,39.76304887294485,2025-01-20 08:30:12
MUR,46.85456765640564,2025-01-20 08:30:12
MVR,15.327258509693626,2025-01-20 08:30:12
MWK,1736.5453857606535,2025-01-20 08:30:12
MXN,20.828590690503017,2025-01-20 08:30:12
MYR,4.515121056171099,2025-01-20 08:30:12
MZN,63.846138993212094,2025-01-20 08:30:12
NAD,18.81303095216243,2025-01-20 08:30:12
NGN,1550.8808545131765,2025-01-20 08:30:12
NIO,36.770018385245386,2025-01-20 08:30:12
NOK,11.236790255449636,2025-01-20 08:30:12
NPR,138.8840130616917,2025-01-20 08:30:12
NZD,1.5968192600938222,2025-01-20 08:30:12
OMR,0.5526602017813238,2025-01-20 08:30:12
PAB,1.1743601392106098,2025-01-20 08:30:12
PEN,3.710459886530086,2025-01-20 08:30:12
PGK,3.854470238027875,2025-01-20 08:30:12
PHP,58.442914454099586,2025-01-20 08:30:12
PKR,278.47274910966604,2025-01-20 08:30:12
PLN,4.218174412956015,2025-01-20 08:30:12
PYG,7894.68830927553,2025-01-20 08:30:12
QAR,3.542284741758574,2025-01-20 08:30:12
RON,4.645352568295461,2025-01-20 08:30:12
RSD,113.62218200647958,2025-01-20 08:30:12
RUB,102.38970749026744,2025-01-20 08:30:12
RWF,1389.933041385376,2025-01-20 08:30:12
SAR,3.561302503850439,2025-01-20 08:30:12
