Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-13 00:28:25
AED,3.6725,2025-01-13 00:28:25
AFN,71.0726,2025-01-13 00:28:25
ALL,95.1938,2025-01-13 00:28:25
AMD,396.4921,2025-01-13 00:28:25
ANG,1.79,2025-01-13 00:28:25
AOA,920.249,2025-01-13 00:28:25
ARS,1039.75,2025-01-13 00:28:25
AUD,1.6218,2025-01-13 00:28:25
AWG,1.79,2025-01-13 00:28:25
AZN,1.7003,2025-01-13 00:28:25
BAM,1.9052,2025-01-13 00:28:25
BBD,2.0,2025-01-13 00:28:25
BDT,121.8932,2025-01-13 00:28:25
BGN,1.905,2025-01-13 00:28:25
BHD,0.376,2025-01-13 00:28:25
BIF,2920.2724,2025-01-13 00:28:25
BMD,1.0,2025-01-13 00:28:25
BND,1.3702,2025-01-13 00:28:25
BOB,6.9217,2025-01-13 00:28:25
BRL,6.0506,2025-01-13 00:28:25
BSD,1.0,2025-01-13 00:28:25
BTN,86.0923,2025-01-13 00:28:25
BWP,14.0877,2025-01-13 00:28:25
BYN,3.4421,2025-01-13 00:28:25
BZD,2.0,2025-01-13 00:28:25
CAD,1.4417,2025-01-13 00:28:25
CDF,2840.4771,2025-01-13 00:28:25
CHF,0.9153,2025-01-13 00:28:25
CLP,1005.2062,2025-01-13 00:28:25
CNY,7.3458,2025-01-13 00:28:25
COP,4336.9026,2025-01-13 00:28:25
CRC,506.265,2025-01-13 00:28:25
CUP,24.0,2025-01-13 00:28:25
CVE,107.4101,2025-01-13 00:28:25
CZK,24.3954,2025-01-13 00:28:25
DJF,177.721,2025-01-13 00:28:25
DKK,7.2682,2025-01-13 00:28:25
DOP,61.3074,2025-01-13 00:28:25
DZD,135.6998,2025-01-13 00:28:25
EGP,50.5621,2025-01-13 00:28:25
ERN,15.0,2025-01-13 00:28:25
ETB,125.7151,2025-01-13 00:28:25
EUR,0.9741,2025-01-13 00:28:25
FJD,2.3247,2025-01-13 00:28:25
FKP,0.8169,2025-01-13 00:28:25
FOK,7.2682,2025-01-13 00:28:25
GBP,0.8169,2025-01-13 00:28:25
GEL,2.8303,2025-01-13 00:28:25
GGP,0.8169,2025-01-13 00:28:25
GHS,15.0493,2025-01-13 00:28:25
GIP,0.8169,2025-01-13 00:28:25
GMD,72.4992,2025-01-13 00:28:25
GNF,8627.6135,2025-01-13 00:28:25
GTQ,7.7127,2025-01-13 00:28:25
GYD,209.0056,2025-01-13 00:28:25
HKD,7.7857,2025-01-13 00:28:25
HNL,25.4094,2025-01-13 00:28:25
HRK,7.3394,2025-01-13 00:28:25
HTG,130.513,2025-01-13 00:28:25
HUF,402.3507,2025-01-13 00:28:25
IDR,16221.5696,2025-01-13 00:28:25
ILS,3.6812,2025-01-13 00:28:25
IMP,0.8169,2025-01-13 00:28:25
INR,86.0927,2025-01-13 00:28:25
IQD,1310.6924,2025-01-13 00:28:25
IRR,42014.2117,2025-01-13 00:28:25
ISK,141.0887,2025-01-13 00:28:25
JEP,0.8169,2025-01-13 00:28:25
JMD,156.419,2025-01-13 00:28:25
JOD,0.709,2025-01-13 00:28:25
JPY,157.8795,2025-01-13 00:28:25
KES,129.3148,2025-01-13 00:28:25
KGS,86.987,2025-01-13 00:28:25
KHR,4049.0566,2025-01-13 00:28:25
KID,1.6218,2025-01-13 00:28:25
KMF,479.23,2025-01-13 00:28:25
KRW,1469.4822,2025-01-13 00:28:25
KWD,0.3085,2025-01-13 00:28:25
KYD,0.8333,2025-01-13 00:28:25
KZT,526.5054,2025-01-13 00:28:25
LAK,21893.3108,2025-01-13 00:28:25
LBP,89500.0,2025-01-13 00:28:25
LKR,294.5277,2025-01-13 00:28:25
LRD,186.8642,2025-01-13 00:28:25
LSL,19.0738,2025-01-13 00:28:25
LYD,4.9223,2025-01-13 00:28:25
MAD,10.0513,2025-01-13 00:28:25
MDL,18.6048,2025-01-13 00:28:25
MGA,4713.8482,2025-01-13 00:28:25
MKD,59.6668,2025-01-13 00:28:25
MMK,2097.7557,2025-01-13 00:28:25
MNT,3426.7022,2025-01-13 00:28:25
MOP,8.0193,2025-01-13 00:28:25
MRU,39.846,2025-01-13 00:28:25
MUR,46.6669,2025-01-13 00:28:25
MVR,15.4478,2025-01-13 00:28:25
MWK,1743.6317,2025-01-13 00:28:25
MXN,20.6509,2025-01-13 00:28:25
MYR,4.4969,2025-01-13 00:28:25
MZN,63.962,2025-01-13 00:28:25
NAD,19.0738,2025-01-13 00:28:25
NGN,1543.8102,2025-01-13 00:28:25
NIO,36.7795,2025-01-13 00:28:25
NOK,11.449,2025-01-13 00:28:25
NPR,137.7476,2025-01-13 00:28:25
NZD,1.7968,2025-01-13 00:28:25
OMR,0.3845,2025-01-13 00:28:25
PAB,1.0,2025-01-13 00:28:25
PEN,3.7733,2025-01-13 00:28:25
PGK,4.006,2025-01-13 00:28:25
PHP,58.5508,2025-01-13 00:28:25
PKR,278.6144,2025-01-13 00:28:25
PLN,4.1492,2025-01-13 00:28:25
PYG,7879.4683,2025-01-13 00:28:25
QAR,3.64,2025-01-13 00:28:25
RON,4.8281,2025-01-13 00:28:25
RSD,113.58,2025-01-13 00:28:25
RUB,102.2167,2025-01-13 00:28:25
RWF,1396.8017,2025-01-13 00:28:25
SAR,3.75,2025-01-13 00:28:25
