Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-19 02:26:06
AED,3.6725,2025-01-19 02:26:06
AFN,73.6227,2025-01-19 02:26:06
ALL,95.5312,2025-01-19 02:26:06
AMD,399.7424,2025-01-19 02:26:06
ANG,1.79,2025-01-19 02:26:06
AOA,918.3035,2025-01-19 02:26:06
ARS,1044.5,2025-01-19 02:26:06
AUD,1.6131,2025-01-19 02:26:06
AWG,1.79,2025-01-19 02:26:06
AZN,1.7008,2025-01-19 02:26:06
BAM,1.9022,2025-01-19 02:26:06
BBD,2.0,2025-01-19 02:26:06
BDT,121.5461,2025-01-19 02:26:06
BGN,1.9021,2025-01-19 02:26:06
BHD,0.376,2025-01-19 02:26:06
BIF,2922.4332,2025-01-19 02:26:06
BMD,1.0,2025-01-19 02:26:06
BND,1.3681,2025-01-19 02:26:06
BOB,6.9319,2025-01-19 02:26:06
BRL,6.0547,2025-01-19 02:26:06
BSD,1.0,2025-01-19 02:26:06
BTN,86.6396,2025-01-19 02:26:06
BWP,14.0396,2025-01-19 02:26:06
BYN,3.4378,2025-01-19 02:26:06
BZD,2.0,2025-01-19 02:26:06
CAD,1.4448,2025-01-19 02:26:06
CDF,2847.7588,2025-01-19 02:26:06
CHF,0.9136,2025-01-19 02:26:06
CLP,1012.0496,2025-01-19 02:26:06
CNY,7.3368,2025-01-19 02:26:06
COP,4291.7345,2025-01-19 02:26:06
CRC,502.2566,2025-01-19 02:26:06
CUP,24.0,2025-01-19 02:26:06
CVE,107.2397,2025-01-19 02:26:06
CZK,24.557,2025-01-19 02:26:06
DJF,177.721,2025-01-19 02:26:06
DKK,7.2544,2025-01-19 02:26:06
DOP,61.3852,2025-01-19 02:26:06
DZD,135.7301,2025-01-19 02:26:06
EGP,50.3956,2025-01-19 02:26:06
ERN,15.0,2025-01-19 02:26:06
ETB,126.0979,2025-01-19 02:26:06
EUR,0.9726,2025-01-19 02:26:06
FJD,2.3335,2025-01-19 02:26:06
FKP,0.8209,2025-01-19 02:26:06
FOK,7.2544,2025-01-19 02:26:06
GBP,0.8209,2025-01-19 02:26:06
GEL,2.8402,2025-01-19 02:26:06
GGP,0.8209,2025-01-19 02:26:06
GHS,15.1884,2025-01-19 02:26:06
GIP,0.8209,2025-01-19 02:26:06
GMD,72.5218,2025-01-19 02:26:06
GNF,8629.3709,2025-01-19 02:26:06
GTQ,7.7236,2025-01-19 02:26:06
GYD,209.236,2025-01-19 02:26:06
HKD,7.7868,2025-01-19 02:26:06
HNL,25.4542,2025-01-19 02:26:06
HRK,7.3278,2025-01-19 02:26:06
HTG,130.6156,2025-01-19 02:26:06
HUF,401.1633,2025-01-19 02:26:06
IDR,16390.0306,2025-01-19 02:26:06
ILS,3.5769,2025-01-19 02:26:06
IMP,0.8209,2025-01-19 02:26:06
INR,86.6397,2025-01-19 02:26:06
IQD,1312.2699,2025-01-19 02:26:06
IRR,41980.7833,2025-01-19 02:26:06
