Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-13 00:25:05
AED,3.6725,2025-01-13 00:25:05
AFN,71.0726,2025-01-13 00:25:05
ALL,95.1938,2025-01-13 00:25:05
AMD,396.4921,2025-01-13 00:25:05
ANG,1.79,2025-01-13 00:25:05
AOA,920.249,2025-01-13 00:25:05
ARS,1039.75,2025-01-13 00:25:05
AUD,1.6218,2025-01-13 00:25:05
AWG,1.79,2025-01-13 00:25:05
AZN,1.7003,2025-01-13 00:25:05
BAM,1.9052,2025-01-13 00:25:05
BBD,2.0,2025-01-13 00:25:05
BDT,121.8932,2025-01-13 00:25:05
BGN,1.905,2025-01-13 00:25:05
BHD,0.376,2025-01-13 00:25:05
BIF,2920.2724,2025-01-13 00:25:05
BMD,1.0,2025-01-13 00:25:05
BND,1.3702,2025-01-13 00:25:05
BOB,6.9217,2025-01-13 00:25:05
BRL,6.0506,2025-01-13 00:25:05
BSD,1.0,2025-01-13 00:25:05
BTN,86.0923,2025-01-13 00:25:05
BWP,14.0877,2025-01-13 00:25:05
BYN,3.4421,2025-01-13 00:25:05
BZD,2.0,2025-01-13 00:25:05
CAD,1.4417,2025-01-13 00:25:05
CDF,2840.4771,2025-01-13 00:25:05
CHF,0.9153,2025-01-13 00:25:05
CLP,1005.2062,2025-01-13 00:25:05
CNY,7.3458,2025-01-13 00:25:05
COP,4336.9026,2025-01-13 00:25:05
CRC,506.265,2025-01-13 00:25:05
CUP,24.0,2025-01-13 00:25:05
CVE,107.4101,2025-01-13 00:25:05
CZK,24.3954,2025-01-13 00:25:05
DJF,177.721,2025-01-13 00:25:05
DKK,7.2682,2025-01-13 00:25:05
DOP,61.3074,2025-01-13 00:25:05
DZD,135.6998,2025-01-13 00:25:05
EGP,50.5621,2025-01-13 00:25:05
ERN,15.0,2025-01-13 00:25:05
ETB,125.7151,2025-01-13 00:25:05
EUR,0.9741,2025-01-13 00:25:05
FJD,2.3247,2025-01-13 00:25:05
FKP,0.8169,2025-01-13 00:25:05
FOK,7.2682,2025-01-13 00:25:05
GBP,0.8169,2025-01-13 00:25:05
GEL,2.8303,2025-01-13 00:25:05
GGP,0.8169,2025-01-13 00:25:05
GHS,15.0493,2025-01-13 00:25:05
GIP,0.8169,2025-01-13 00:25:05
GMD,72.4992,2025-01-13 00:25:05
GNF,8627.6135,2025-01-13 00:25:05
GTQ,7.7127,2025-01-13 00:25:05
GYD,209.0056,2025-01-13 00:25:05
HKD,7.7857,2025-01-13 00:25:05
HNL,25.4094,2025-01-13 00:25:05
HRK,7.3394,2025-01-13 00:25:05
HTG,130.513,2025-01-13 00:25:05
HUF,402.3507,2025-01-13 00:25:05
IDR,16221.5696,2025-01-13 00:25:05
ILS,3.6812,2025-01-13 00:25:05
IMP,0.8169,2025-01-13 00:25:05
INR,86.0927,2025-01-13 00:25:05
IQD,1310.6924,2025-01-13 00:25:05
IRR,42014.2117,2025-01-13 00:25:05
ISK,141.0887,2025-01-13 00:25:05
JEP,0.8169,2025-01-13 00:25:05
JMD,156.419,2025-01-13 00:25:05
JOD,0.709,2025-01-13 00:25:05
JPY,157.8795,2025-01-13 00:25:05
KES,129.3148,2025-01-13 00:25:05
KGS,86.987,2025-01-13 00:25:05
KHR,4049.0566,2025-01-13 00:25:05
KID,1.6218,2025-01-13 00:25:05
KMF,479.23,2025-01-13 00:25:05
KRW,1469.4822,2025-01-13 00:25:05
KWD,0.3085,2025-01-13 00:25:05
KYD,0.8333,2025-01-13 00:25:05
KZT,526.5054,2025-01-13 00:25:05
LAK,21893.3108,2025-01-13 00:25:05
LBP,89500.0,2025-01-13 00:25:05
LKR,294.5277,2025-01-13 00:25:05
LRD,186.8642,2025-01-13 00:25:05
LSL,19.0738,2025-01-13 00:25:05
LYD,4.9223,2025-01-13 00:25:05
MAD,10.0513,2025-01-13 00:25:05
MDL,18.6048,2025-01-13 00:25:05
MGA,4713.8482,2025-01-13 00:25:05
MKD,59.6668,2025-01-13 00:25:05
MMK,2097.7557,2025-01-13 00:25:05
MNT,3426.7022,2025-01-13 00:25:05
MOP,8.0193,2025-01-13 00:25:05
MRU,39.846,2025-01-13 00:25:05
MUR,46.6669,2025-01-13 00:25:05
MVR,15.4478,2025-01-13 00:25:05
MWK,1743.6317,2025-01-13 00:25:05
MXN,20.6509,2025-01-13 00:25:05
MYR,4.4969,2025-01-13 00:25:05
MZN,63.962,2025-01-13 00:25:05
NAD,19.0738,2025-01-13 00:25:05
NGN,1543.8102,2025-01-13 00:25:05
NIO,36.7795,2025-01-13 00:25:05
NOK,11.449,2025-01-13 00:25:05
NPR,137.7476,2025-01-13 00:25:05
NZD,1.7968,2025-01-13 00:25:05
OMR,0.3845,2025-01-13 00:25:05
PAB,1.0,2025-01-13 00:25:05
PEN,3.7733,2025-01-13 00:25:05
PGK,4.006,2025-01-13 00:25:05
PHP,58.5508,2025-01-13 00:25:05
PKR,278.6144,2025-01-13 00:25:05
PLN,4.1492,2025-01-13 00:25:05
PYG,7879.4683,2025-01-13 00:25:05
QAR,3.64,2025-01-13 00:25:05
RON,4.8281,2025-01-13 00:25:05
RSD,113.58,2025-01-13 00:25:05
RUB,102.2167,2025-01-13 00:25:05
RWF,1396.8017,2025-01-13 00:25:05
SAR,3.75,2025-01-13 00:25:05
SBD,8.4789,2025-01-13 00:25:05
SCR,14.2841,2025-01-13 00:25:05
SDG,508.8636,2025-01-13 00:25:05
SEK,11.2078,2025-01-13 00:25:05
SGD,1.3702,2025-01-13 00:25:05
