Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-12 16:58:33
AED,3.6725,2025-01-12 16:58:33
AFN,71.0726,2025-01-12 16:58:33
ALL,95.1938,2025-01-12 16:58:33
AMD,396.4921,2025-01-12 16:58:33
ANG,1.79,2025-01-12 16:58:33
AOA,920.249,2025-01-12 16:58:33
ARS,1039.75,2025-01-12 16:58:33
AUD,1.6218,2025-01-12 16:58:33
AWG,1.79,2025-01-12 16:58:33
AZN,1.7003,2025-01-12 16:58:33
BAM,1.9052,2025-01-12 16:58:33
BBD,2.0,2025-01-12 16:58:33
BDT,121.8932,2025-01-12 16:58:33
BGN,1.905,2025-01-12 16:58:33
BHD,0.376,2025-01-12 16:58:33
BIF,2920.2724,2025-01-12 16:58:33
BMD,1.0,2025-01-12 16:58:33
BND,1.3702,2025-01-12 16:58:33
BOB,6.9217,2025-01-12 16:58:33
BRL,6.0506,2025-01-12 16:58:33
BSD,1.0,2025-01-12 16:58:33
BTN,86.0923,2025-01-12 16:58:33
BWP,14.0877,2025-01-12 16:58:33
BYN,3.4421,2025-01-12 16:58:33
BZD,2.0,2025-01-12 16:58:33
CAD,1.4417,2025-01-12 16:58:33
CDF,2840.4771,2025-01-12 16:58:33
CHF,0.9153,2025-01-12 16:58:33
CLP,1005.2062,2025-01-12 16:58:33
CNY,7.3458,2025-01-12 16:58:33
COP,4336.9026,2025-01-12 16:58:33
CRC,506.265,2025-01-12 16:58:33
CUP,24.0,2025-01-12 16:58:33
CVE,107.4101,2025-01-12 16:58:33
CZK,24.3954,2025-01-12 16:58:33
DJF,177.721,2025-01-12 16:58:33
DKK,7.2682,2025-01-12 16:58:33
DOP,61.3074,2025-01-12 16:58:33
DZD,135.6998,2025-01-12 16:58:33
EGP,50.5621,2025-01-12 16:58:33
ERN,15.0,2025-01-12 16:58:33
ETB,125.7151,2025-01-12 16:58:33
EUR,0.9741,2025-01-12 16:58:33
FJD,2.3247,2025-01-12 16:58:33
FKP,0.8169,2025-01-12 16:58:33
FOK,7.2682,2025-01-12 16:58:33
GBP,0.8169,2025-01-12 16:58:33
GEL,2.8303,2025-01-12 16:58:33
GGP,0.8169,2025-01-12 16:58:33
GHS,15.0493,2025-01-12 16:58:33
GIP,0.8169,2025-01-12 16:58:33
GMD,72.4992,2025-01-12 16:58:33
GNF,8627.6135,2025-01-12 16:58:33
GTQ,7.7127,2025-01-12 16:58:33
GYD,209.0056,2025-01-12 16:58:33
HKD,7.7857,2025-01-12 16:58:33
HNL,25.4094,2025-01-12 16:58:33
HRK,7.3394,2025-01-12 16:58:33
HTG,130.513,2025-01-12 16:58:33
HUF,402.3507,2025-01-12 16:58:33
IDR,16221.5696,2025-01-12 16:58:33
ILS,3.6812,2025-01-12 16:58:33
IMP,0.8169,2025-01-12 16:58:33
INR,86.0927,2025-01-12 16:58:33
