Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-20 00:53:04
AED,3.6725,2025-01-20 00:53:04
AFN,73.6227,2025-01-20 00:53:04
ALL,95.5312,2025-01-20 00:53:04
AMD,399.7424,2025-01-20 00:53:04
ANG,1.79,2025-01-20 00:53:04
AOA,918.3035,2025-01-20 00:53:04
ARS,1044.5,2025-01-20 00:53:04
AUD,1.6131,2025-01-20 00:53:04
AWG,1.79,2025-01-20 00:53:04
AZN,1.7008,2025-01-20 00:53:04
BAM,1.9022,2025-01-20 00:53:04
BBD,2.0,2025-01-20 00:53:04
BDT,121.5461,2025-01-20 00:53:04
BGN,1.9021,2025-01-20 00:53:04
BHD,0.376,2025-01-20 00:53:04
BIF,2922.4332,2025-01-20 00:53:04
BMD,1.0,2025-01-20 00:53:04
BND,1.3681,2025-01-20 00:53:04
BOB,6.9319,2025-01-20 00:53:04
BRL,6.0547,2025-01-20 00:53:04
BSD,1.0,2025-01-20 00:53:04
BTN,86.6396,2025-01-20 00:53:04
BWP,14.0396,2025-01-20 00:53:04
BYN,3.4378,2025-01-20 00:53:04
BZD,2.0,2025-01-20 00:53:04
CAD,1.4448,2025-01-20 00:53:04
CDF,2847.7588,2025-01-20 00:53:04
CHF,0.9136,2025-01-20 00:53:04
CLP,1012.0496,2025-01-20 00:53:04
CNY,7.3368,2025-01-20 00:53:04
COP,4291.7345,2025-01-20 00:53:04
CRC,502.2566,2025-01-20 00:53:04
CUP,24.0,2025-01-20 00:53:04
CVE,107.2397,2025-01-20 00:53:04
CZK,24.557,2025-01-20 00:53:04
DJF,177.721,2025-01-20 00:53:04
DKK,7.2544,2025-01-20 00:53:04
DOP,61.3852,2025-01-20 00:53:04
DZD,135.7301,2025-01-20 00:53:04
EGP,50.3956,2025-01-20 00:53:04
ERN,15.0,2025-01-20 00:53:04
ETB,126.0979,2025-01-20 00:53:04
EUR,0.9726,2025-01-20 00:53:04
FJD,2.3335,2025-01-20 00:53:04
FKP,0.8209,2025-01-20 00:53:04
FOK,7.2544,2025-01-20 00:53:04
GBP,0.8209,2025-01-20 00:53:04
GEL,2.8402,2025-01-20 00:53:04
GGP,0.8209,2025-01-20 00:53:04
GHS,15.1884,2025-01-20 00:53:04
GIP,0.8209,2025-01-20 00:53:04
GMD,72.5218,2025-01-20 00:53:04
GNF,8629.3709,2025-01-20 00:53:04
GTQ,7.7236,2025-01-20 00:53:04
GYD,209.236,2025-01-20 00:53:04
HKD,7.7868,2025-01-20 00:53:04
HNL,25.4542,2025-01-20 00:53:04
HRK,7.3278,2025-01-20 00:53:04
HTG,130.6156,2025-01-20 00:53:04
HUF,401.1633,2025-01-20 00:53:04
IDR,16390.0306,2025-01-20 00:53:04
ILS,3.5769,2025-01-20 00:53:04
IMP,0.8209,2025-01-20 00:53:04
INR,86.6397,2025-01-20 00:53:04
IQD,1312.2699,2025-01-20 00:53:04
IRR,41980.7833,2025-01-20 00:53:04
ISK,140.9424,2025-01-20 00:53:04
JEP,0.8209,2025-01-20 00:53:04
JMD,157.1379,2025-01-20 00:53:04
JOD,0.709,2025-01-20 00:53:04
JPY,155.9939,2025-01-20 00:53:04
KES,129.574,2025-01-20 00:53:04
KGS,87.2802,2025-01-20 00:53:04
KHR,4019.4113,2025-01-20 00:53:04
KID,1.6131,2025-01-20 00:53:04
KMF,478.4699,2025-01-20 00:53:04
KRW,1457.6584,2025-01-20 00:53:04
KWD,0.3087,2025-01-20 00:53:04
KYD,0.8333,2025-01-20 00:53:04
KZT,530.3129,2025-01-20 00:53:04
LAK,21929.0255,2025-01-20 00:53:04
LBP,89500.0,2025-01-20 00:53:04
LKR,296.0941,2025-01-20 00:53:04
LRD,189.3745,2025-01-20 00:53:04
LSL,18.7484,2025-01-20 00:53:04
LYD,4.9506,2025-01-20 00:53:04
MAD,10.0499,2025-01-20 00:53:04
MDL,18.8111,2025-01-20 00:53:04
MGA,4689.1093,2025-01-20 00:53:04
MKD,59.7836,2025-01-20 00:53:04
MMK,2100.4384,2025-01-20 00:53:04
MNT,3460.6069,2025-01-20 00:53:04
MOP,8.0201,2025-01-20 00:53:04
MRU,39.8264,2025-01-20 00:53:04
MUR,46.7165,2025-01-20 00:53:04
