Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-13 00:27:16
AED,3.6725,2025-01-13 00:27:16
AFN,71.0726,2025-01-13 00:27:16
ALL,95.1938,2025-01-13 00:27:16
AMD,396.4921,2025-01-13 00:27:16
ANG,1.79,2025-01-13 00:27:16
AOA,920.249,2025-01-13 00:27:16
ARS,1039.75,2025-01-13 00:27:16
AUD,1.6218,2025-01-13 00:27:16
AWG,1.79,2025-01-13 00:27:16
AZN,1.7003,2025-01-13 00:27:16
BAM,1.9052,2025-01-13 00:27:16
BBD,2.0,2025-01-13 00:27:16
BDT,121.8932,2025-01-13 00:27:16
BGN,1.905,2025-01-13 00:27:16
BHD,0.376,2025-01-13 00:27:16
BIF,2920.2724,2025-01-13 00:27:16
BMD,1.0,2025-01-13 00:27:16
BND,1.3702,2025-01-13 00:27:16
BOB,6.9217,2025-01-13 00:27:16
BRL,6.0506,2025-01-13 00:27:16
BSD,1.0,2025-01-13 00:27:16
BTN,86.0923,2025-01-13 00:27:16
BWP,14.0877,2025-01-13 00:27:16
BYN,3.4421,2025-01-13 00:27:16
BZD,2.0,2025-01-13 00:27:16
CAD,1.4417,2025-01-13 00:27:16
CDF,2840.4771,2025-01-13 00:27:16
CHF,0.9153,2025-01-13 00:27:16
CLP,1005.2062,2025-01-13 00:27:16
CNY,7.3458,2025-01-13 00:27:16
COP,4336.9026,2025-01-13 00:27:16
CRC,506.265,2025-01-13 00:27:16
CUP,24.0,2025-01-13 00:27:16
CVE,107.4101,2025-01-13 00:27:16
CZK,24.3954,2025-01-13 00:27:16
DJF,177.721,2025-01-13 00:27:16
DKK,7.2682,2025-01-13 00:27:16
DOP,61.3074,2025-01-13 00:27:16
DZD,135.6998,2025-01-13 00:27:16
EGP,50.5621,2025-01-13 00:27:16
ERN,15.0,2025-01-13 00:27:16
ETB,125.7151,2025-01-13 00:27:16
EUR,0.9741,2025-01-13 00:27:16
FJD,2.3247,2025-01-13 00:27:16
FKP,0.8169,2025-01-13 00:27:16
FOK,7.2682,2025-01-13 00:27:16
GBP,0.8169,2025-01-13 00:27:16
GEL,2.8303,2025-01-13 00:27:16
GGP,0.8169,2025-01-13 00:27:16
GHS,15.0493,2025-01-13 00:27:16
GIP,0.8169,2025-01-13 00:27:16
GMD,72.4992,2025-01-13 00:27:16
GNF,8627.6135,2025-01-13 00:27:16
GTQ,7.7127,2025-01-13 00:27:16
GYD,209.0056,2025-01-13 00:27:16
HKD,7.7857,2025-01-13 00:27:16
HNL,25.4094,2025-01-13 00:27:16
HRK,7.3394,2025-01-13 00:27:16
HTG,130.513,2025-01-13 00:27:16
HUF,402.3507,2025-01-13 00:27:16
IDR,16221.5696,2025-01-13 00:27:16
ILS,3.6812,2025-01-13 00:27:16
IMP,0.8169,2025-01-13 00:27:16
INR,86.0927,2025-01-13 00:27:16
IQD,1310.6924,2025-01-13 00:27:16
IRR,42014.2117,2025-01-13 00:27:16
ISK,141.0887,2025-01-13 00:27:16
JEP,0.8169,2025-01-13 00:27:16
JMD,156.419,2025-01-13 00:27:16
JOD,0.709,2025-01-13 00:27:16
JPY,157.8795,2025-01-13 00:27:16
KES,129.3148,2025-01-13 00:27:16
KGS,86.987,2025-01-13 00:27:16
KHR,4049.0566,2025-01-13 00:27:16
KID,1.6218,2025-01-13 00:27:16
KMF,479.23,2025-01-13 00:27:16
KRW,1469.4822,2025-01-13 00:27:16
KWD,0.3085,2025-01-13 00:27:16
KYD,0.8333,2025-01-13 00:27:16
KZT,526.5054,2025-01-13 00:27:16
LAK,21893.3108,2025-01-13 00:27:16
LBP,89500.0,2025-01-13 00:27:16
LKR,294.5277,2025-01-13 00:27:16
LRD,186.8642,2025-01-13 00:27:16
LSL,19.0738,2025-01-13 00:27:16
LYD,4.9223,2025-01-13 00:27:16
MAD,10.0513,2025-01-13 00:27:16
MDL,18.6048,2025-01-13 00:27:16
MGA,4713.8482,2025-01-13 00:27:16
MKD,59.6668,2025-01-13 00:27:16
MMK,2097.7557,2025-01-13 00:27:16
MNT,3426.7022,2025-01-13 00:27:16
MOP,8.0193,2025-01-13 00:27:16
MRU,39.846,2025-01-13 00:27:16
MUR,46.6669,2025-01-13 00:27:16
MVR,15.4478,2025-01-13 00:27:16
MWK,1743.6317,2025-01-13 00:27:16
MXN,20.6509,2025-01-13 00:27:16
MYR,4.4969,2025-01-13 00:27:16
MZN,63.962,2025-01-13 00:27:16
NAD,19.0738,2025-01-13 00:27:16
NGN,1543.8102,2025-01-13 00:27:16
NIO,36.7795,2025-01-13 00:27:16
NOK,11.449,2025-01-13 00:27:16
NPR,137.7476,2025-01-13 00:27:16
NZD,1.7968,2025-01-13 00:27:16
OMR,0.3845,2025-01-13 00:27:16
PAB,1.0,2025-01-13 00:27:16
PEN,3.7733,2025-01-13 00:27:16
PGK,4.006,2025-01-13 00:27:16
PHP,58.5508,2025-01-13 00:27:16
PKR,278.6144,2025-01-13 00:27:16
PLN,4.1492,2025-01-13 00:27:16
PYG,7879.4683,2025-01-13 00:27:16
QAR,3.64,2025-01-13 00:27:16
RON,4.8281,2025-01-13 00:27:16
RSD,113.58,2025-01-13 00:27:16
RUB,102.2167,2025-01-13 00:27:16
RWF,1396.8017,2025-01-13 00:27:16
SAR,3.75,2025-01-13 00:27:16
SBD,8.4789,2025-01-13 00:27:16
SCR,14.2841,2025-01-13 00:27:16
SDG,508.8636,2025-01-13 00:27:16
SEK,11.2078,2025-01-13 00:27:16
SGD,1.3702,2025-01-13 00:27:16
SHP,0.8169,2025-01-13 00:27:16
SLE,22.6258,2025-01-13 00:27:16
SLL,22625.7763,2025-01-13 00:27:16
SOS,570.9705,2025-01-13 00:27:16
SRD,35.1117,2025-01-13 00:27:16
SSP,4039.4334,2025-01-13 00:27:16
STN,23.8657,2025-01-13 00:27:16
SYP,12922.6186,2025-01-13 00:27:16
SZL,19.0738,2025-01-13 00:27:16
THB,34.6324,2025-01-13 00:27:16
TJS,10.9249,2025-01-13 00:27:16
TMT,3.4998,2025-01-13 00:27:16
TND,3.2201,2025-01-13 00:27:16
TOP,2.4025,2025-01-13 00:27:16
TRY,35.4419,2025-01-13 00:27:16
TTD,6.7702,2025-01-13 00:27:16
TVD,1.6218,2025-01-13 00:27:16
TWD,32.9835,2025-01-13 00:27:16
TZS,2470.1592,2025-01-13 00:27:16
UAH,42.2964,2025-01-13 00:27:16
UGX,3704.2727,2025-01-13 00:27:16
UYU,43.7884,2025-01-13 00:27:16
UZS,12950.262,2025-01-13 00:27:16
VES,53.8791,2025-01-13 00:27:16
VND,25366.9829,2025-01-13 00:27:16
VUV,119.1029,2025-01-13 00:27:16
WST,2.8435,2025-01-13 00:27:16
XAF,638.9734,2025-01-13 00:27:16
XCD,2.7,2025-01-13 00:27:16
XDR,0.77,2025-01-13 00:27:16
XOF,638.9734,2025-01-13 00:27:16
XPF,116.2423,2025-01-13 00:27:16
YER,249.1076,2025-01-13 00:27:16
ZAR,19.0645,2025-01-13 00:27:16
ZMW,27.9177,2025-01-13 00:27:16
ZWL,26.0579,2025-01-13 00:27:16
